Index	Heure start
272	21:33:48
274	21:33:48
278	21:33:48
273	21:33:48
275	21:33:48
279	21:33:48
277	21:33:48
285	21:38:06
287	21:38:06
280	21:38:06
284	21:38:06
283	21:38:06
281	21:38:06
282	21:38:06
286	21:38:06
290	21:42:39
288	21:42:39
289	21:42:39
293	21:42:39
294	21:42:39
292	21:42:39
291	21:42:39
295	21:42:39
301	21:47:04
299	21:47:04
296	21:47:04
297	21:47:04
298	21:47:04
300	21:47:04
302	21:47:04
303	21:47:04
310	21:51:22
308	21:51:22
305	21:51:22
309	21:51:22
304	21:51:22
307	21:51:22
306	21:51:22
311	21:51:22
319	21:55:45
317	21:55:45
315	21:55:45
314	21:55:45
312	21:55:45
313	21:55:45
318	21:55:45
316	21:55:45
326	22:00:05
322	22:00:05
325	22:00:05
324	22:00:05
323	22:00:05
327	22:00:05
320	22:00:05
321	22:00:05
335	22:04:25
329	22:04:25
328	22:04:25
330	22:04:25
334	22:04:25
332	22:04:25
331	22:04:25
333	22:04:25
337	22:08:51
343	22:08:51
336	22:08:51
339	22:08:51
338	22:08:51
340	22:08:51
342	22:08:51
341	22:08:51
344	22:13:14
345	22:13:14
346	22:13:14
349	22:13:14
348	22:13:14
347	22:13:14
350	22:13:14
351	22:13:14
353	22:17:43
355	22:17:43
354	22:17:43
358	22:17:43
352	22:17:43
359	22:17:43
357	22:17:43
356	22:17:43
364	22:22:08
363	22:22:08
361	22:22:08
360	22:22:08
362	22:22:08
366	22:22:08
365	22:22:08
367	22:22:08
373	22:26:33
369	22:26:33
371	22:26:33
374	22:26:33
368	22:26:33
375	22:26:33
370	22:26:33
372	22:26:33
378	22:30:58
379	22:30:58
382	22:30:58
383	22:30:58
380	22:30:58
376	22:30:58
377	22:30:58
381	22:30:58
389	22:35:18
386	22:35:18
388	22:35:18
384	22:35:18
391	22:35:18
387	22:35:18
385	22:35:18
390	22:35:18
395	22:39:39
393	22:39:39
396	22:39:39
398	22:39:39
392	22:39:39
394	22:39:39
397	22:39:39
399	22:39:39
