Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
7	1.769e-02	6.514e-03	7.078e-02	9.650e-02	1.500e-01	-5.907e-02	-3.760e-02	-6.655e-03	7.447e-01	3.000e-01	3.965e-02	4.286e-02	1.547e-03	3.969e-02
8	1.386e-02	0.000e+00	8.801e-02	1.000e-01	1.306e-01	-6.425e-02	-5.363e-02	-9.406e-03	7.984e-01	2.391e-01	3.601e-02	3.815e-02	1.653e-03	3.601e-02
8	1.549e-02	0.000e+00	9.595e-02	1.000e-01	1.339e-01	-6.297e-02	-5.341e-02	-1.484e-02	7.633e-01	2.301e-01	3.500e-02	3.723e-02	1.712e-03	3.501e-02
8	1.704e-02	2.021e-03	9.214e-02	1.000e-01	1.500e-01	-5.884e-02	-4.470e-02	-8.063e-03	8.000e-01	2.483e-01	3.696e-02	3.961e-02	1.663e-03	3.694e-02
8	5.000e-03	3.961e-03	7.686e-02	9.831e-02	1.310e-01	-7.612e-02	-6.514e-02	-1.831e-02	4.240e-01	2.251e-01	3.103e-02	3.430e-02	1.689e-03	3.100e-02
8	1.613e-02	1.294e-02	7.974e-02	9.322e-02	1.500e-01	-6.111e-02	-6.861e-02	-3.799e-03	7.691e-01	3.000e-01	3.924e-02	4.222e-02	1.739e-03	3.923e-02
8	1.056e-02	1.474e-03	8.435e-02	9.939e-02	1.500e-01	-6.397e-02	-3.938e-02	-1.145e-02	7.194e-01	2.854e-01	3.908e-02	4.243e-02	1.622e-03	3.910e-02
8	1.147e-02	1.168e-02	9.012e-02	1.000e-01	1.360e-01	-6.514e-02	-4.627e-02	-1.645e-02	7.430e-01	2.734e-01	3.798e-02	4.065e-02	1.718e-03	3.798e-02
8	1.600e-02	3.018e-03	7.143e-02	9.395e-02	1.477e-01	-5.860e-02	-5.621e-02	-1.262e-02	7.553e-01	2.675e-01	3.799e-02	4.083e-02	1.625e-03	3.796e-02
9	9.674e-03	1.240e-02	8.824e-02	9.399e-02	1.240e-01	-6.992e-02	-5.047e-02	-1.342e-02	7.572e-01	2.331e-01	3.527e-02	3.718e-02	1.670e-03	3.526e-02
9	1.727e-02	0.000e+00	7.150e-02	9.962e-02	1.317e-01	-5.974e-02	-3.838e-02	-1.164e-02	7.694e-01	2.320e-01	3.688e-02	3.920e-02	1.505e-03	3.689e-02
9	7.484e-03	9.778e-03	8.070e-02	9.722e-02	1.500e-01	-6.325e-02	-6.156e-02	-1.127e-02	7.157e-01	2.321e-01	3.354e-02	3.621e-02	1.707e-03	3.351e-02
9	1.626e-02	1.139e-02	8.991e-02	9.963e-02	1.500e-01	-6.648e-02	-5.293e-02	-3.997e-03	7.644e-01	2.583e-01	3.696e-02	3.971e-02	1.729e-03	3.695e-02
9	5.000e-03	1.793e-02	6.916e-02	9.853e-02	8.873e-02	-6.345e-02	-6.285e-02	-7.315e-03	7.360e-01	2.648e-01	3.869e-02	4.087e-02	1.554e-03	3.869e-02
9	1.709e-02	3.799e-03	7.262e-02	9.494e-02	1.500e-01	-5.127e-02	-4.475e-02	-1.215e-02	7.441e-01	2.731e-01	3.914e-02	4.216e-02	1.564e-03	3.916e-02
9	1.135e-02	0.000e+00	9.467e-02	9.891e-02	1.500e-01	-6.480e-02	-5.697e-02	-1.374e-02	7.774e-01	2.165e-01	3.232e-02	3.481e-02	1.742e-03	3.237e-02
9	1.658e-02	0.000e+00	7.743e-02	9.637e-02	1.500e-01	-6.112e-02	-3.454e-02	0.000e+00	7.955e-01	3.000e-01	4.065e-02	4.374e-02	1.517e-03	4.062e-02
10	1.456e-02	7.505e-03	6.750e-02	9.301e-02	1.391e-01	-5.379e-02	-4.904e-02	-1.013e-02	7.690e-01	2.746e-01	4.055e-02	4.312e-02	1.541e-03	4.056e-02
10	1.393e-02	5.762e-03	7.956e-02	9.963e-02	1.500e-01	-6.062e-02	-3.269e-02	-4.208e-03	7.568e-01	2.938e-01	4.046e-02	4.359e-02	1.556e-03	4.046e-02
10	1.259e-02	4.001e-03	8.480e-02	9.609e-02	1.200e-01	-5.108e-02	-9.908e-03	-1.379e-02	7.679e-01	2.800e-01	4.234e-02	4.492e-02	1.394e-03	3.014e-02
10	1.411e-02	0.000e+00	7.509e-02	9.542e-02	1.299e-01	-5.841e-02	-5.239e-02	-2.051e-03	7.696e-01	2.589e-01	3.945e-02	4.181e-02	1.523e-03	3.947e-02
10	2.267e-02	7.655e-03	6.136e-02	9.816e-02	1.500e-01	-6.254e-02	-2.675e-02	-4.789e-03	7.535e-01	3.000e-01	3.867e-02	4.205e-02	1.477e-03	3.870e-02
10	1.497e-02	0.000e+00	7.899e-02	1.000e-01	1.457e-01	-6.259e-02	-4.675e-02	-7.227e-03	7.541e-01	2.607e-01	3.828e-02	4.114e-02	1.603e-03	3.826e-02
10	2.026e-02	0.000e+00	8.874e-02	1.000e-01	1.500e-01	-5.790e-02	-1.650e-02	-1.328e-02	7.751e-01	3.000e-01	3.970e-02	4.289e-02	1.549e-03	3.970e-02
10	1.089e-02	2.042e-02	5.512e-02	9.507e-02	1.118e-01	-6.156e-02	-6.456e-02	-8.391e-03	4.884e-01	2.869e-01	3.934e-02	4.274e-02	1.534e-03	3.931e-02
11	2.073e-02	7.139e-03	9.388e-02	9.438e-02	1.308e-01	-6.035e-02	-5.981e-02	-1.439e-02	7.789e-01	2.716e-01	3.671e-02	3.914e-02	1.752e-03	3.668e-02
11	1.478e-02	5.080e-03	7.380e-02	9.712e-02	1.500e-01	-6.024e-02	-4.103e-02	-1.440e-02	7.683e-01	2.647e-01	3.732e-02	4.019e-02	1.597e-03	3.733e-02
11	8.577e-03	1.540e-02	6.796e-02	9.300e-02	8.064e-02	-5.241e-02	-3.764e-02	-3.201e-03	7.613e-01	2.681e-01	4.196e-02	4.400e-02	1.338e-03	1.847e-02
11	1.974e-02	0.000e+00	9.172e-02	9.857e-02	1.436e-01	-5.618e-02	-2.903e-02	-1.345e-02	7.939e-01	2.574e-01	3.803e-02	4.064e-02	1.588e-03	3.807e-02
11	1.280e-02	3.042e-03	8.660e-02	9.750e-02	1.458e-01	-5.701e-02	-3.845e-02	-1.380e-02	7.643e-01	2.677e-01	3.942e-02	4.296e-02	1.610e-03	3.944e-02
